"","wipo_field","year","freq"
"173","Textile and paper machines","1984",5
"174","Thermal processes and apparatus","1984",47
"175","Transport","1984",49
"176","Analysis of biological materials","1985",26
"177","Audio-visual technology","1985",28
"178","Basic communication processes","1985",52
"179","Basic materials chemistry ","1985",55
"180","Biotechnology","1985",31
"181","Chemical engineering","1985",31
"182","Civil engineering","1985",10
"183","Computer technology","1985",21
"184","Control","1985",22
"185","Digital communication","1985",4
"186","Electrical machinery, apparatus, energy","1985",134
"187","Engines, pumps, turbines","1985",86
"188","Environmental technology","1985",19
"189","Food chemistry","1985",5
"190","Furniture, games","1985",1
"191","Handling","1985",15
"192","IT methods for management","1985",0
"193","Machine tools","1985",33
"194","Macromolecular chemistry, polymers","1985",36
"195","Materials, metallurgy","1985",57
"196","Measurement","1985",199
"197","Mechanical elements","1985",45
"198","Medical technology","1985",23
"199","Micro-structural and nano-technology","1985",0
"200","Optics","1985",93
"201","Organic fine chemistry","1985",74
"202","Other consumer goods","1985",6
"203","Other special machines","1985",52
"204","Pharmaceuticals","1985",17
"205","Semiconductors","1985",55
"206","Surface technology, coating","1985",28
"207","Telecommunications","1985",62
"208","Textile and paper machines","1985",3
"209","Thermal processes and apparatus","1985",24
"210","Transport","1985",52
"211","Analysis of biological materials","1986",22
"212","Audio-visual technology","1986",25
"213","Basic communication processes","1986",65
"214","Basic materials chemistry ","1986",42
"215","Biotechnology","1986",54
"216","Chemical engineering","1986",34
"217","Civil engineering","1986",10
"218","Computer technology","1986",36
"219","Control","1986",17
"220","Digital communication","1986",6
"221","Electrical machinery, apparatus, energy","1986",108
"222","Engines, pumps, turbines","1986",72
"223","Environmental technology","1986",24
"224","Food chemistry","1986",4
"225","Furniture, games","1986",0
"226","Handling","1986",15
"227","IT methods for management","1986",0
"228","Machine tools","1986",32
"229","Macromolecular chemistry, polymers","1986",30
"230","Materials, metallurgy","1986",62
"231","Measurement","1986",178
"232","Mechanical elements","1986",28
"233","Medical technology","1986",32
"234","Micro-structural and nano-technology","1986",0
"235","Optics","1986",94
"236","Organic fine chemistry","1986",64
"237","Other consumer goods","1986",5
"238","Other special machines","1986",52
"239","Pharmaceuticals","1986",19
"240","Semiconductors","1986",57
"241","Surface technology, coating","1986",52
"242","Telecommunications","1986",49
"243","Textile and paper machines","1986",6
"244","Thermal processes and apparatus","1986",19
"245","Transport","1986",55
"246","Analysis of biological materials","1987",17
"247","Audio-visual technology","1987",33
"248","Basic communication processes","1987",54
"249","Basic materials chemistry ","1987",43
"250","Biotechnology","1987",70
"251","Chemical engineering","1987",33
"252","Civil engineering","1987",15
"253","Computer technology","1987",50
"254","Control","1987",19
"255","Digital communication","1987",4
"256","Electrical machinery, apparatus, energy","1987",143
"257","Engines, pumps, turbines","1987",76
"258","Environmental technology","1987",20
"259","Food chemistry","1987",2
"260","Furniture, games","1987",0
"261","Handling","1987",11
"262","IT methods for management","1987",0
"263","Machine tools","1987",27
"264","Macromolecular chemistry, polymers","1987",32
"265","Materials, metallurgy","1987",64
"266","Measurement","1987",196
"267","Mechanical elements","1987",48
"268","Medical technology","1987",38
"269","Micro-structural and nano-technology","1987",0
"270","Optics","1987",109
"271","Organic fine chemistry","1987",56
"272","Other consumer goods","1987",7
"273","Other special machines","1987",62
"274","Pharmaceuticals","1987",31
"275","Semiconductors","1987",72
"276","Surface technology, coating","1987",41
"277","Telecommunications","1987",56
"278","Textile and paper machines","1987",2
"279","Thermal processes and apparatus","1987",15
"280","Transport","1987",55
"281","Analysis of biological materials","1988",28
"282","Audio-visual technology","1988",14
"283","Basic communication processes","1988",34
"284","Basic materials chemistry ","1988",22
"285","Biotechnology","1988",67
"286","Chemical engineering","1988",34
"287","Civil engineering","1988",3
"288","Computer technology","1988",28
"289","Control","1988",8
"290","Digital communication","1988",7
"291","Electrical machinery, apparatus, energy","1988",111
"292","Engines, pumps, turbines","1988",92
"293","Environmental technology","1988",26
"294","Food chemistry","1988",1
"295","Furniture, games","1988",3
"296","Handling","1988",9
"297","IT methods for management","1988",0
"298","Machine tools","1988",22
"299","Macromolecular chemistry, polymers","1988",23
"300","Materials, metallurgy","1988",79
"301","Measurement","1988",135
"302","Mechanical elements","1988",30
"303","Medical technology","1988",32
"304","Micro-structural and nano-technology","1988",2
"305","Optics","1988",106
"306","Organic fine chemistry","1988",49
"307","Other consumer goods","1988",5
"308","Other special machines","1988",55
"309","Pharmaceuticals","1988",33
"310","Semiconductors","1988",54
"311","Surface technology, coating","1988",28
"312","Telecommunications","1988",51
"313","Textile and paper machines","1988",6
"314","Thermal processes and apparatus","1988",17
"315","Transport","1988",54
"316","Analysis of biological materials","1989",39
"317","Audio-visual technology","1989",16
"318","Basic communication processes","1989",40
"319","Basic materials chemistry ","1989",43
"320","Biotechnology","1989",78
"321","Chemical engineering","1989",46
"322","Civil engineering","1989",7
"323","Computer technology","1989",62
"324","Control","1989",16
"325","Digital communication","1989",9
"326","Electrical machinery, apparatus, energy","1989",148
"327","Engines, pumps, turbines","1989",84
"328","Environmental technology","1989",41
"329","Food chemistry","1989",2
"330","Furniture, games","1989",4
"331","Handling","1989",14
"332","IT methods for management","1989",0
"333","Machine tools","1989",25
"334","Macromolecular chemistry, polymers","1989",35
"335","Materials, metallurgy","1989",85
"336","Measurement","1989",200
"337","Mechanical elements","1989",50
"338","Medical technology","1989",41
"339","Micro-structural and nano-technology","1989",0
"340","Optics","1989",136
"341","Organic fine chemistry","1989",57
"342","Other consumer goods","1989",5
"343","Other special machines","1989",70
"344","Pharmaceuticals","1989",42
"345","Semiconductors","1989",65
"346","Surface technology, coating","1989",47
"347","Telecommunications","1989",37
"348","Textile and paper machines","1989",4
"349","Thermal processes and apparatus","1989",20
"350","Transport","1989",73
"351","Analysis of biological materials","1990",29
"352","Audio-visual technology","1990",18
"353","Basic communication processes","1990",37
"354","Basic materials chemistry ","1990",47
"355","Biotechnology","1990",77
"356","Chemical engineering","1990",34
"357","Civil engineering","1990",5
"358","Computer technology","1990",52
"359","Control","1990",16
"360","Digital communication","1990",11
"361","Electrical machinery, apparatus, energy","1990",101
"362","Engines, pumps, turbines","1990",61
"363","Environmental technology","1990",24
"364","Food chemistry","1990",0
"365","Furniture, games","1990",2
"366","Handling","1990",10
"367","IT methods for management","1990",0
"368","Machine tools","1990",19
"369","Macromolecular chemistry, polymers","1990",35
"370","Materials, metallurgy","1990",81
